day,solver_success,global_lp_status,mean_absolute_target_deviation_mw,first_stage_optimal_target_deviation_mw,worst_case_fractional_cost_margin,certified_n1_baseline_cost_usd,reference_n1_baseline_cost_usd,payment_cap_violation_usd,certificate_schema_version,candidate_checksum,conversion_scale_q01,conversion_scale_q10,conversion_scale_q50,conversion_scale_q90,conversion_scale_q99,certified_cost_q01_usd,certified_cost_q10_usd,certified_cost_q50_usd,certified_cost_q90_usd,certified_cost_q99_usd,reference_cost_q01_usd,reference_cost_q10_usd,reference_cost_q50_usd,reference_cost_q90_usd,reference_cost_q99_usd,weight_rho_0.03,weight_rho_0.1,weight_rho_0.3,weight_rho_1,weight_rho_3,weight_rho_10,weight_feasible_quantile
61,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,8.365569081447414e-06,106197.79847141844,106199.34082321204,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106161.3109762619,106171.1540160382,106197.79847141844,106233.53525707925,106610.83042626183,106162.1990834622,106172.20132153308,106199.34082321204,106235.88680720206,106619.71897123808,0.0,-2.2561677696929173e-08,0.0,0.9999999941361726,-1.0530635961284523e-09,0.0,2.9478568974784263e-08
62,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0002002212471257,106332.607437578,106368.6900883239,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106242.30217652784,106266.66335212276,106332.607437578,106421.1185521968,107362.71082447642,106263.57840270973,106291.87021128676,106368.6900883239,106471.86877154197,107553.26807859194,0.0,0.0,0.0,1.0000000000000002,1.5308874379013601e-09,-1.5308873932294467e-09,0.0
63,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0001702689932477,106349.53880795094,106379.81249193502,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106252.29335395207,106278.44550523764,106349.53880795094,106445.06552613496,107455.7652475872,106270.38776905084,106299.89055967,106379.81249193502,106487.23318979848,107614.97648834296,0.0,0.0,0.0,0.999999998644436,0.0,6.602126835753585e-11,0.0
64,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.000198161884314,106354.6650464448,106390.32337663363,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106255.50542014831,106282.23335266869,106354.6650464448,106452.41955607593,107486.36405396006,106276.56538459336,106307.18333361766,106390.32337663363,106501.96070609472,107672.39966129194,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.3910619966898978,0.3910619956898978,4.158485804359394e-13,106179.49862499682,106179.58852194509,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106150.23718836663,106158.1308923172,106179.49862499682,106208.15802418267,106509.34905299416,106150.2911971017,106158.19458242688,106179.58852194509,106208.28307096446,106509.36129757256,0.0,0.0,0.9960738023344642,0.0039261976655358,0.0,0.0,0.0
66,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0,0.0,0.0001360919199328,106232.0863130016,106255.77062271789,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106181.6078322696,106195.08919955856,106232.0863130016,106281.85643298032,106804.8004430054,106196.06025798943,106212.16800922196,106255.77062271789,106314.38077729494,106931.96214653437,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,0.0929091687579509,0.0929091687484223,9.399265037394029e-14,106124.61350073492,106124.61350073492,1.4551915228366852e-11,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106117.34254607552,106119.30399329508,106124.61350073492,106131.73485963052,106206.32365344351,106117.34254607552,106119.3039932951,106124.61350073492,106131.73485963052,106206.32365344351,0.0,-0.0,1.0,0.0,0.0,0.0,0.0
68,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1.0000000000000003e-09,0.0,4.250790795476709e-05,106205.0252192144,106212.5859767082,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106165.65269769698,106176.27401586989,106205.0252192144,106243.58767345684,106651.288989682,106170.16576932106,106181.59608139182,106212.5859767082,106254.33833565896,106692.6467221267,0.0,0.0,-8.943724357018589e-09,0.9999999977482736,0.0,0.0,1.1195450627354688e-08
69,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0002958193379526,106345.29752929242,106398.46265404084,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106249.9261928579,106275.65401698004,106345.29752929242,106438.9018879749,107435.9835832506,106281.366135399,106312.89924545054,106398.46265404084,106513.28245244862,107717.19348814948,0.0,0.0,0.0,0.9999999976092246,0.0,1.0636566433907616e-09,0.0
70,1,Vertex-cost Jensen certificate: exact global LP with independent N-1 replay,1e-09,0.0,0.0001609708022028,106272.5450627198,106301.29647490132,0.0,10,d15af9651f38fc51549aec50cca5fe8a9c3141f51928081fe6375eb3bf23c7a3,0.5826705226086141,0.6871175459512688,0.9698487058668352,1.3490609178395556,5.320912625466783,106206.20144649663,106224.09135978126,106272.5450627198,106337.60848354116,107027.9137085831,106223.3001107389,106244.32646533858,106301.29647490132,106377.8671760273,107181.74990960576,0.0,0.0,0.0,0.9999999981796206,0.0,7.138803631670449e-11,0.0
