day,conversion_scenario,conversion_scale_factor,counterfactual_method,settlement_payment_usd,independent_realized_value_usd,maximum_post_contingency_loading,absolute_error_usd,overpayment_usd
61,q01,0.5826705226086141,Feasible Quantile Projection,-38.94363164367496,-2.8543431770649477,1.0000000000000022,36.089288466610014,0.0
61,q01,0.5826705226086141,Payment-Certified N-1 Verifier,-22.146808666624565,-2.8543431770649477,1.0000000000000022,19.292465489559618,0.0
61,q01,0.5826705226086141,Risk-Constrained Convex Verifier,-22.67652034173807,-2.8543431770649477,1.0000000000000022,19.82217716467312,0.0
61,q01,0.5826705226086141,Single Feasible Projection,-18.340364734536706,-2.8543431770649477,1.0000000000000022,15.486021557471759,0.0
61,q10,0.6871175459512688,Feasible Quantile Projection,-45.924500325903864,-3.3435972800525633,1.0000000000000022,42.5809030458513,0.0
61,q10,0.6871175459512688,Payment-Certified N-1 Verifier,-26.11675077286418,-3.3435972800525633,1.0000000000000022,22.773153492811616,0.0
61,q10,0.6871175459512688,Risk-Constrained Convex Verifier,-26.741416295044473,-3.3435972800525633,1.0000000000000022,23.39781901499191,0.0
61,q10,0.6871175459512688,Single Feasible Projection,-21.627979997731018,-3.3435972800525633,1.0000000000000022,18.284382717678454,0.0
61,q50,0.9698487058668352,Feasible Quantile Projection,-64.82124852014022,-4.657238680729279,1.0000000000000022,60.16400983941094,0.0
61,q50,0.9698487058668352,Payment-Certified N-1 Verifier,-36.8631205646725,-4.657238680729279,1.0000000000000022,32.20588188394322,0.0
61,q50,0.9698487058668352,Risk-Constrained Convex Verifier,-37.7448198486818,-4.657238680729279,1.0000000000000022,33.08758116795252,0.0
61,q50,0.9698487058668352,Single Feasible Projection,-30.52733631225965,-4.657238680729279,1.0000000000000022,25.87009763153037,0.0
61,q90,1.3490609178395556,Feasible Quantile Projection,-90.16644812237064,-6.3746283637247,1.0000000000000022,83.79181975864594,0.0
61,q90,1.3490609178395556,Payment-Certified N-1 Verifier,-51.26304927374986,-6.3746283637247,1.0000000000000022,44.88842091002516,0.0
61,q90,1.3490609178395556,Risk-Constrained Convex Verifier,-52.50309764887061,-6.3746283637247,1.0000000000000022,46.12846928514591,0.0
61,q90,1.3490609178395556,Single Feasible Projection,-42.37375729165433,-6.3746283637247,1.000000000000002,35.99912892792963,0.0
61,q99,5.320912625466783,Feasible Quantile Projection,-359.30287752899494,-21.270911510369828,1.0000000000000022,338.0319660186251,0.0
61,q99,5.320912625466783,Payment-Certified N-1 Verifier,-203.9195538194599,-21.270911510369828,1.0000000000000022,182.64864230909006,0.0
61,q99,5.320912625466783,Risk-Constrained Convex Verifier,-209.84692254532638,-21.270911510369828,1.0000000000000022,188.57601103495654,0.0
61,q99,5.320912625466783,Single Feasible Projection,-168.6486335923055,-21.270911510369828,1.0000000000000022,147.37772208193564,0.0
62,q01,0.5826705226086141,Feasible Quantile Projection,-63.2555441740933,-80.45047861549756,1.0000000000000022,17.194934441404257,17.194934441404257
62,q01,0.5826705226086141,Payment-Certified N-1 Verifier,-102.57179134034595,-80.45047861549756,1.0000000000000022,22.121312724848394,0.0
62,q01,0.5826705226086141,Risk-Constrained Convex Verifier,-91.55818964295395,-80.45047861549756,1.0000000000000022,11.10771102745639,0.0
62,q01,0.5826705226086141,Single Feasible Projection,-84.03117655447568,-80.45047861549756,1.000000000000002,3.580697938978119,0.0
62,q10,0.6871175459512688,Feasible Quantile Projection,-74.59446221189864,-94.86441726067824,1.0000000000000022,20.269955048779593,20.269955048779593
62,q10,0.6871175459512688,Payment-Certified N-1 Verifier,-120.95837152370041,-94.86441726067824,1.0000000000000022,26.09395426302217,0.0
62,q10,0.6871175459512688,Risk-Constrained Convex Verifier,-107.97051873768396,-94.86441726067824,1.0000000000000022,13.106101477005723,0.0
62,q10,0.6871175459512688,Single Feasible Projection,-99.04872429834359,-94.86441726067824,1.0000000000000022,4.184307037665349,0.0
62,q50,0.9698487058668352,Feasible Quantile Projection,-105.28816076276416,-133.77366990847077,1.000000000000002,28.4855091457066,28.4855091457066
62,q50,0.9698487058668352,Payment-Certified N-1 Verifier,-170.61348898076722,-133.77366990847077,1.0000000000000022,36.83981907229645,0.0
62,q50,0.9698487058668352,Risk-Constrained Convex Verifier,-152.39760429133094,-133.77366990847077,1.0000000000000022,18.62393438286017,0.0
62,q50,0.9698487058668352,Single Feasible Projection,-139.49864880481437,-133.77366990847077,1.0000000000000022,5.7249788963436,0.0
62,q90,1.3490609178395556,Feasible Quantile Projection,-146.98022049530482,-185.90758588254357,1.0000000000000022,38.92736538723875,38.92736538723875
62,q90,1.3490609178395556,Payment-Certified N-1 Verifier,-237.1400136124539,-185.90758588254357,1.0000000000000022,51.23242772991034,0.0
62,q90,1.3490609178395556,Risk-Constrained Convex Verifier,-212.27900232631873,-185.90758588254357,1.0000000000000022,26.37141644377516,0.0
62,q90,1.3490609178395556,Single Feasible Projection,-193.78572372932103,-185.90758588254357,1.0000000000000022,7.878137846777463,0.0
62,q99,5.320912625466783,Feasible Quantile Projection,-592.2377533425079,-731.684256212302,1.000000000000002,139.44650286979413,139.44650286979413
62,q99,5.320912625466783,Payment-Certified N-1 Verifier,-949.2262619182529,-731.684256212302,1.0000000000000022,217.54200570595094,0.0
62,q99,5.320912625466783,Risk-Constrained Convex Verifier,-853.4814940960478,-731.684256212302,1.0000000000000022,121.79723788374577,0.0
62,q99,5.320912625466783,Single Feasible Projection,-776.2192632464612,-731.684256212302,1.0000000000000022,44.53500703415921,0.0
63,q01,0.5826705226086141,Feasible Quantile Projection,-52.12818659797449,-7.424322289625707,1.0000000000000022,44.703864308348784,0.0
63,q01,0.5826705226086141,Payment-Certified N-1 Verifier,-55.97082005469565,-7.424322289625707,1.0000000000000022,48.546497765069944,0.0
63,q01,0.5826705226086141,Risk-Constrained Convex Verifier,-55.08149462445908,-7.424322289625707,1.0000000000000022,47.657172334833376,0.0
63,q01,0.5826705226086141,Single Feasible Projection,-23.908715852643574,-7.424322289625707,1.0000000000000022,16.484393563017868,0.0
63,q10,0.6871175459512688,Feasible Quantile Projection,-61.47246215535597,-8.722694941845472,1.0000000000000022,52.749767213510495,0.0
63,q10,0.6871175459512688,Payment-Certified N-1 Verifier,-65.96085759811649,-8.722694941845472,1.0000000000000022,57.238162656271015,0.0
63,q10,0.6871175459512688,Risk-Constrained Convex Verifier,-64.95516753489937,-8.722694941845472,1.0000000000000022,56.2324725930539,0.0
63,q10,0.6871175459512688,Single Feasible Projection,-28.14729564246409,-8.722694941845472,1.0000000000000022,19.42460070061862,0.0
63,q50,0.9698487058668352,Feasible Quantile Projection,-86.76679589848027,-12.098875413876158,1.0000000000000022,74.66792048460411,0.0
63,q50,0.9698487058668352,Payment-Certified N-1 Verifier,-92.9760632068137,-12.098875413876158,1.0000000000000022,80.87718779293755,0.0
63,q50,0.9698487058668352,Risk-Constrained Convex Verifier,-91.65548826495797,-12.098875413876158,1.0000000000000022,79.55661285108181,0.0
63,q50,0.9698487058668352,Single Feasible Projection,-39.442083029271096,-12.098875413876158,1.0000000000000022,27.343207615394938,0.0
63,q90,1.3490609178395556,Feasible Quantile Projection,-121.21581704719938,-16.59350262613043,1.0000000000000022,104.62231442106895,0.0
63,q90,1.3490609178395556,Payment-Certified N-1 Verifier,-129.5837178094207,-16.59350262613043,1.0000000000000022,112.99021518329027,0.0
63,q90,1.3490609178395556,Risk-Constrained Convex Verifier,-127.89627631802796,-16.59350262613043,1.0000000000000022,111.30277369189753,0.0
63,q90,1.3490609178395556,Single Feasible Projection,-54.872764458996244,-16.59350262613043,1.0000000000000022,38.279261832865814,0.0
63,q99,5.320912625466783,Feasible Quantile Projection,-486.69631196064256,-55.54609250382788,1.000000000000002,431.1502194568147,0.0
63,q99,5.320912625466783,Payment-Certified N-1 Verifier,-518.031966328037,-55.54609250382788,1.0000000000000022,462.48587382420914,0.0
63,q99,5.320912625466783,Risk-Constrained Convex Verifier,-513.1769467515915,-55.54609250382788,1.0000000000000022,457.6308542477636,0.0
63,q99,5.320912625466783,Single Feasible Projection,-220.7031552227836,-55.54609250382788,1.0000000000000022,165.15706271895573,0.0
64,q01,0.5826705226086141,Feasible Quantile Projection,-63.85905457708577,-39.1591647925452,1.0000000000000022,24.699889784540574,0.0
64,q01,0.5826705226086141,Payment-Certified N-1 Verifier,-100.18031930525103,-39.1591647925452,1.0000000000000022,61.021154512705834,0.0
64,q01,0.5826705226086141,Risk-Constrained Convex Verifier,-90.4254781063355,-39.1591647925452,1.0000000000000022,51.266313313790306,0.0
64,q01,0.5826705226086141,Single Feasible Projection,-96.35436895103157,-39.1591647925452,1.0000000000000022,57.195204158486376,0.0
64,q10,0.6871175459512688,Feasible Quantile Projection,-75.30615530596333,-46.1439566066947,1.0000000000000022,29.16219869926863,0.0
64,q10,0.6871175459512688,Payment-Certified N-1 Verifier,-118.05137231050321,-46.1439566066947,1.0000000000000022,71.90741570380851,0.0
64,q10,0.6871175459512688,Risk-Constrained Convex Verifier,-106.63476218038522,-46.1439566066947,1.0000000000000022,60.49080557369052,0.0
64,q10,0.6871175459512688,Single Feasible Projection,-113.53959847472834,-46.1439566066947,1.000000000000002,67.39564186803364,0.0
64,q50,0.9698487058668352,Feasible Quantile Projection,-106.29470982736348,-64.88253456105303,1.0000000000000022,41.41217526631044,0.0
64,q50,0.9698487058668352,Payment-Certified N-1 Verifier,-166.35894793042826,-64.88253456105303,1.0000000000000022,101.47641336937522,0.0
64,q50,0.9698487058668352,Risk-Constrained Convex Verifier,-150.37799354655363,-64.88253456105303,1.0000000000000022,85.49545898550059,0.0
