metric,value,unit
submitted_jobs,75326.0,jobs
runtime_slots_min,1.0,slots
runtime_slots_median,24.0,slots
runtime_slots_p90,128.0,slots
runtime_slots_max,584.0,slots
nameplate_upper_runtime_energy_mwh,1972.1150000000002,MWh
central_declared_service_energy_mwh,0.570394485428465,MWh
central_to_nameplate_energy_ratio,0.0002892298296136204,ratio
baseline_energy_residual_mwh,-7.73070496506989e-12,MWh
counterfactual_energy_residual_mwh,-8.640199666842818e-12,MWh
central_baseline_energy_residual_mwh,1.7763568394002505e-15,MWh
central_counterfactual_energy_residual_mwh,0.0,MWh
baseline_minimum_site_capacity_slack_mwh,28.59575000000007,MWh
counterfactual_minimum_site_capacity_slack_mwh,28.59575000000007,MWh
risk_aligned_minimum_site_capacity_slack_mwh,28.59575000000007,MWh
baseline_event_energy_mwh,165.43649999999946,MWh
counterfactual_event_energy_mwh,160.75424999999933,MWh
event_reduction_mwh,4.682250000000124,MWh
central_event_reduction_mwh,0.007428413381541599,MWh
risk_aligned_event_energy_mwh,160.82524999999933,MWh
risk_aligned_event_reduction_mwh,4.611250000000126,MWh
central_risk_aligned_energy_residual_mwh,-1.1102230246251565e-16,MWh
risk_flexible_target_energy_mwh,37751.19574313141,MWh
locked_submit_declared_upper_energy_mwh,624.38225,MWh
locked_submit_declared_central_energy_mwh,0.1757031949771048,MWh
risk_contract_scale_upper,0.01653940326151397,ratio
risk_contract_scale_central,4.654241846341328e-06,ratio
risk_bridge_upper_mean_nrmse,0.04408393096188185,ratio
risk_bridge_central_mean_nrmse,1.3134222096049607e-05,ratio
event_response_delay_mwh,1.1938366961672386e-14,MWh
baseline_jobs_with_one_contiguous_block,75326.0,jobs
counterfactual_jobs_with_one_contiguous_block,75326.0,jobs
baseline_max_job_energy_residual_mwh,8.881784197001252e-16,MWh
counterfactual_max_job_energy_residual_mwh,8.881784197001252e-16,MWh
baseline_max_aggregation_residual_mwh,6.328271240363392e-15,MWh
counterfactual_max_aggregation_residual_mwh,5.9396931817445875e-15,MWh
baseline_max_gpu_bound_violation_mwh,0.0,MWh
counterfactual_max_gpu_bound_violation_mwh,0.0,MWh
baseline_minimum_typed_capacity_slack_mwh,28.59575000000007,MWh
counterfactual_minimum_typed_capacity_slack_mwh,28.59575000000007,MWh
settlement_full_cycle_cells,5184.0,day-slots
settlement_event_cells,432.0,day-slots
settlement_locked_days,54.0,days
settlement_finite_n1_contingencies_per_cell,37.0,contingencies
settlement_negative_network_value_cells,582.0,cells
settlement_signed_network_value_usd,-0.686235679899255,USD
settlement_signed_nodal_meter_credit_usd,-0.6862356799855477,USD
settlement_signed_payable_settlement_usd,-0.686235679899255,USD
settlement_signed_value_minus_meter_credit_usd,8.62926397005026e-11,USD
