day,scenario,mae_mw,rmse_mw,nrmse,nmae,normalization_mean_truth_mw,bias_mw,max_abs_error_mw,paid_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
61,Optimization only,3.4970049150756592,3.931678038137724,0.2970855043667934,0.2642407284856155,13.234163162950962,-2.9461600612062027,8.813517661911304,11.217175111211422,32.11932666639842,2.203379415477826,0.196429082512546,23.10553097066483,0.8035709174874539,0.2806346406122941,0.4159909234016967,2.9160188803751907
62,Optimization only,2.1316282072803006e-14,2.466194959700875e-14,1.394348246051862e-15,1.2051894114715343e-15,17.687080445534168,-1.021405182655144e-14,5.684341886080802e-14,23.184072566952437,23.184072566952537,5.329070518200751e-15,2.2985911999762436e-16,1.0480505352461478e-13,0.9999999999999997,0.9999999999999954,0.9999999999999976,0.0
63,Optimization only,8.174076983964865,11.293107165574261,0.5182636394394549,0.3751250054264843,21.790274883626203,-3.875550160387194,49.30157816986477,19.750129067633868,57.630506970194176,0.0,0.0,37.88037790256031,1.0,0.34270267790370823,0.5104669612169866,1.7763568394002505e-15
64,Optimization only,2.8011884875580075,3.265087482601075,0.15886924175426276,0.1362973253857784,20.552042966576735,-1.893606338745667,11.26029451887851,27.415729466659513,39.62488000171732,2.8150736297196275,0.10268096762273135,15.024224164777435,0.8973190323772686,0.6208386204797013,0.7339031083404471,0.0
65,Optimization only,4.595130171917329,9.400853179975432,0.8817387044207453,0.4309932350673784,10.661722268561732,-0.9631724074987247,49.85439276186422,4.022371341131023,24.60571573113794,0.30321066711736755,0.0753810728554241,20.886555057124284,0.9246189271445759,0.15115027397098418,0.25982599987382865,0.0
66,Optimization only,10.65308881980733,16.29123192346666,1.2272549632785343,0.8025210241788481,13.274529263214923,-0.8095904293016254,52.42975043446758,14.549832453640224,47.790948982181476,11.250598736734869,0.7732459306718739,44.49171526527612,0.22675406932812608,0.06903469772352608,0.10584511906710166,0.0
67,Optimization only,4.857155268960674,4.986414183382735,0.43179792851018534,0.42060476856873463,11.548027107464723,-4.857155268960674,6.3960438621900515,1.0863308305706614,38.946444760851506,0.0,0.0,37.860113930280846,1.0,0.027892939580010854,0.0542720715474662,0.0
68,Optimization only,1.564399170376456,2.2026680259226548,0.19730786791880162,0.14013381101840142,11.163609688535693,-0.3427709774338477,6.955731156601624,9.146445204991332,14.37045260931352,0.5868976576248823,0.06416674942792035,5.81090506194707,0.9358332505720796,0.5956352092778893,0.7279486958658169,0.0
69,Optimization only,1.435065942237831,1.703498694939214,0.08692710621607257,0.07322936610317012,19.596864189921025,-0.6695341328317339,3.45417061202739,25.991371151921093,31.49294931660037,1.2788559161865676,0.04920309547009196,6.780434080865843,0.9507969045299082,0.7846999335406233,0.8598002041014697,-1.7763568394002505e-15
70,Optimization only,0.4536828921589745,0.598488667331516,0.04004044393866066,0.030352562046690332,14.947103689668413,-0.3327387967513572,1.9351055265218768,17.420546677955468,19.820447457847408,0.0,0.0,2.3999007798919374,1.0,0.8789179313435853,0.9355575532935434,0.11079340149450445
71,Optimization only,6.829368852347644,7.091687371626722,0.28681544240674095,0.2762062603861788,24.725612094378803,-6.829368852347644,11.068236343701674,24.31095528617847,68.13431224837791,0.0,0.0,43.82335696219944,1.0,0.3568092857172305,0.5259534843596173,0.0
72,Optimization only,1.193614986060627,1.2509025309038373,0.08376583329390595,0.0799296119956037,14.933326413823686,-1.193614986060627,1.915049508521804,15.664365639684027,23.87243168892949,0.0,0.0,8.208066049245462,1.0,0.6561696706811884,0.7923942604398782,0.0
73,Optimization only,4.272979566844893,6.166280310094618,0.370980059937533,0.2570739791418351,16.62159500198722,-1.0273749189594448,19.28090199328154,18.170476426000086,32.5847049116078,2.069079641085982,0.11387041223230347,16.4833081266937,0.8861295877676963,0.4941397145867117,0.6344730276033319,1.7763568394002505e-15
74,Optimization only,2.35225648783347,2.6123662537096752,0.18749006928209785,0.1688219372941627,13.933357983771955,-1.7284988342216239,4.919293352123187,12.388890692209591,26.381874824878956,0.599015618377817,0.04835102942303715,14.591999751047183,0.9516489705769627,0.44689299574393937,0.608183765091524,0.0
75,Optimization only,5.226651719371007,7.993366993743125,0.41341970037498554,0.27032423126301464,19.33475106893279,0.05030609395160801,29.148264910562236,30.035402680069776,38.621525499568534,7.287066227640559,0.2426158991527671,15.873189047139315,0.757384100847233,0.5890066784825305,0.662666887540003,0.0
76,Optimization only,1.905742833123564,2.2267751876531428,0.15199363871030847,0.1300808403374675,14.650449890848748,-1.882516085838008,5.454154779474937,13.304423951734492,26.634357971766303,0.0,0.0,13.32993402003181,1.0,0.4995211060029237,0.6662408471654413,8.881784197001252e-16
