day,intervention,participating_destinations,dr_price_per_mwh,method,paid_response_mwh,contract_capped_response_mwh,meter_capped_response_mwh,meter_capped_false_response_mwh,meter_capped_underpayment_mwh,oracle_matched_response_mwh,oracle_response_mwh,false_response_mwh,false_response_ratio,underestimation_mwh,credit_precision,credit_recall,credit_f1,net_system_response_mwh
61,Single-site tariff 150,0,150.0,Feasible Quantile Projection,11.049590701234003,11.049590701234003,11.049590701234003,0.0,21.06973596516442,11.049590701234003,32.11932666639842,0.0,0.0,21.06973596516442,1.0,0.34401688478711206,0.5119234567378269,1.9582192105035494
61,Single-site tariff 150,0,150.0,Single Feasible Projection,12.231819533945885,12.231819533945885,12.231819533945885,2.203379415477826,22.090886547930367,10.028440118468058,32.11932666639842,2.203379415477826,0.1801350493573734,22.090886547930367,0.8198649506426265,0.31222448162212857,0.452229129464537,3.9306633031096543
61,Single-site tariff 150,0,150.0,Tail-Risk Feasible Counterfactual,12.951256412329347,12.951256412329347,12.951256412329347,1.6386480998519226,20.806718353921,11.312608312477423,32.11932666639842,1.6386480998519226,0.12652425739111775,20.806718353921,0.8734757426088822,0.35220564957583894,0.5019952057295083,4.040074218421379
61,Single-site tariff 150,0,150.0,Risk-Constrained Convex Verifier,11.327491872549324,11.327491872549324,11.327491872549324,1.993978432492241,22.78581322634134,9.333513440057082,32.11932666639842,1.993978432492241,0.176030003369447,22.78581322634134,0.8239699966305529,0.2905887018429101,0.429652331467727,3.0263356417130947
62,Single-site tariff 150,0,150.0,Feasible Quantile Projection,24.58510803435769,24.58510803435769,24.58510803435769,1.4010354674052392,8.304468224196171e-14,23.18407256695245,23.184072566952537,1.4010354674052392,0.05698715927736791,8.304468224196171e-14,0.943012840722632,0.9999999999999963,0.9706707243086582,0.0
62,Single-site tariff 150,0,150.0,Single Feasible Projection,23.184072566952437,23.184072566952437,23.184072566952437,5.329070518200751e-15,1.0480505352461478e-13,23.18407256695243,23.184072566952537,5.329070518200751e-15,2.2985911999762436e-16,1.0480505352461478e-13,0.9999999999999997,0.9999999999999954,0.9999999999999976,0.0
62,Single-site tariff 150,0,150.0,Tail-Risk Feasible Counterfactual,28.37426936537497,28.37426936537497,28.37426936537497,5.190196798422495,5.81756864903582e-14,23.18407256695248,23.184072566952537,5.190196798422495,0.1829191346423205,5.81756864903582e-14,0.8170808653576797,0.9999999999999976,0.899333519971707,1.7209989936218144
62,Single-site tariff 150,0,150.0,Risk-Constrained Convex Verifier,23.184072566952437,23.184072566952437,23.184072566952437,5.329070518200751e-15,1.0480505352461478e-13,23.18407256695243,23.184072566952537,5.329070518200751e-15,2.2985911999762436e-16,1.0480505352461478e-13,0.9999999999999997,0.9999999999999954,0.9999999999999976,0.0
63,Single-site tariff 150,0,150.0,Feasible Quantile Projection,26.88082763262003,26.88082763262003,26.88082763262003,5.180252856742204,35.92993219431635,21.700574775877826,57.630506970194176,5.180252856742204,0.19271180662815376,35.92993219431635,0.8072881933718462,0.3765466576079421,0.5135541848407918,3.140099007188995
63,Single-site tariff 150,0,150.0,Single Feasible Projection,22.41436507027991,22.41436507027991,22.41436507027991,2.369556297117696,37.58569819703196,20.044808773162217,57.630506970194176,2.369556297117696,0.10571596784865363,37.58569819703196,0.8942840321513464,0.3478159368531871,0.5008392983132439,2.6460097301498093
63,Single-site tariff 150,0,150.0,Tail-Risk Feasible Counterfactual,27.75600611428666,27.75600611428666,27.75600611428666,2.9728818364081926,32.84738269231571,24.783124277878468,57.630506970194176,2.9728818364081926,0.10710769496761212,32.84738269231571,0.8928923050323879,0.430034812823979,0.5804927120834227,3.4034092132160287
