day,method,truth_source,event_intervention,trace_mae_mw,trace_rmse_mw,trace_nrmse,trace_nmae,trace_normalization_mean_truth_mw,trace_bias_mw,trace_max_abs_error_mw
61,Committed-ledger reference schedule,independent_trace_observed_meter,False,7.234163162950964,7.741317961203441,0.5849495631786722,0.5466279260635839,13.234163162950964,-7.234163162950964,12.687771924020225
61,Committed-ledger rolling-service verifier,independent_trace_observed_meter,False,7.449724929566135,8.014938496879088,0.6056248814671491,0.5629162069288701,13.234163162950964,-6.609163162950964,13.448988265842724
61,Complete-ledger risk-constrained verifier,independent_trace_observed_meter,False,3.3852784411075216,3.5228882208168573,0.266196523152985,0.25579845128285916,13.234163162950964,-2.9662799984875443,6.7039750819196335
61,Decision-time truncated-ledger verifier,independent_trace_observed_meter,False,7.449724929566135,8.014938496879088,0.6056248814671491,0.5629162069288701,13.234163162950964,-6.609163162950964,13.448988265842724
62,Committed-ledger reference schedule,independent_trace_observed_meter,False,11.687080445534168,11.921915552894264,0.6740465499439983,0.6607693384741206,17.68708044553417,-11.687080445534168,15.795967150317612
62,Committed-ledger rolling-service verifier,independent_trace_observed_meter,False,11.763125142442801,11.985531460411542,0.6776432943424409,0.665068787280429,17.68708044553417,-11.062080445534168,15.795967150317612
62,Complete-ledger risk-constrained verifier,independent_trace_observed_meter,False,0.12634282939281882,0.31664027098947556,0.01790234809891558,0.007143226932329538,17.68708044553417,2.5536197625353196e-06,1.4209781219340627
62,Decision-time truncated-ledger verifier,independent_trace_observed_meter,False,11.763125142442801,11.985531460411542,0.6776432943424409,0.665068787280429,17.68708044553417,-11.062080445534168,15.795967150317612
63,Committed-ledger reference schedule,independent_trace_observed_meter,False,15.790274883626202,16.44440441803361,0.7546671396233912,0.7246478058655165,21.790274883626203,-15.790274883626202,24.56960942926009
63,Committed-ledger rolling-service verifier,independent_trace_observed_meter,False,15.793615271973838,16.44643561477064,0.7547603553697678,0.724801103075647,21.790274883626203,-15.165274883626202,24.56960942926009
63,Complete-ledger risk-constrained verifier,independent_trace_observed_meter,False,8.00462593643429,8.952144173951924,0.41083209008431576,0.36734855247049597,21.790274883626203,-3.79788042623296,23.915934881503397
63,Decision-time truncated-ledger verifier,independent_trace_observed_meter,False,15.793615271973838,16.44643561477064,0.7547603553697678,0.724801103075647,21.790274883626203,-15.165274883626202,24.56960942926009
